id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len
4630619,,http://www.tempo.co/read/news/2015/11/27/111722870/JK-Rowling-Buka-Rahasia-Mengapa-Potter-Namai-Anaknya-Severus,https://m.tempo.co/read/news/2015/11/27/111722870/jk-rowling-buka-rahasia-mengapa-potter-namai-anaknya-severus,"JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus Â ","JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus",2,63,61,214,1173,959
5239210,,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,8 Kepribadian Orang Berdasarkan Makanan Kelilng Kesukaannya,8 Kepribadian Orang Berdasarkan Makanan Keliling Kesukaannya,1,59,60,172,4420,4252
4544398,,http://www.antaranews.com/berita/529845/teror-paris--70-juta-unggah-dukungan-via-instagram,http://www.antaranews.com/berita/529845/teror-paris--70-juta-unggah-dukungan-via-instagram,TEROR PARIS - 70 juta unggah dukungan via Instagram,TEROR PARIS,40,51,11,933,367,1257
5240193,,http://www.kotakgame.com/berita/detail.php?id=56843&jenis=news,http://www.kotakgame.com/berita/detail.php?id=56843&jenis=news,[VIDEO] X-Legend Ungkap Keempat Class yang Akan Hadir Di Laplace (TW) Lewat Trailer Baru,Berita : [VIDEO] X-Legend Ungkap Keempat Class yang Akan Hadir Di Laplace (TW) Lewat Trailer Baru,9,88,97,109,964,1064
4202081,,http://www.aplikanologi.com/berita/spesifikasi-htc-one-a9-bocor-lhoo-penasaran/,http://aplikanologi.com/berita/spesifikasi-htc-one-a9-bocor-lhoo-penasaran/,Spesifikasi HTC One A9 BocorLhoo. Penasaran?,Spesifikasi HTC One A9 Bocor Lhoo. Penasaran?,1,44,45,66,2118,2054
4544224,,http://dapurpacu.com/269231/ford-hadirkan-jok-senyaman-sofa/,http://dapurpacu.com/269231/ford-hadirkan-jok-senyaman-sofa/,Ford Hadirkan Jok Senyaman Sofa,Ford Hadirkan Jok Senyaman Sofa | Majalah Otomotif Online by. Dapurpacu.com,44,31,75,1,951,952
5231693,,https://jalantikus.com/gadgets/alasan-menggunakan-android/?utm_source=babe&utm_medium=article&utm_campaign=artikel-from-babe,https://jalantikus.com/gadgets/alasan-menggunakan-android/,Alasan Kenapa Harus Gunakan Android Dibanding iOS,Alasan Kenapa Harus Menggunakan Android Dibanding iOS,5,49,53,192,5431,5257
4535276,,http://ngonoo.com/2015/11/121507/4-fakta-menarik-tim-amatir-hingga-selebrasi-unik-ps-tni-usai-kalahkan-surabaya-united-kemarin/,https://ngonoo.com/2015/11/121507/4-fakta-menarik-tim-amatir-hingga-selebrasi-unik-ps-tni-usai-kalahkan-surabaya-united-kemarin,4 Fakta Menarik TimâAmatirâ Hingga Selebrasi Unik PS TNI Usai Kalahkan Surabaya United Kemarin,4 Fakta Menarik Tim 'Amatir' Hingga Selebrasi Unik PS TNI Usai Kalahkan Surabaya United Kemarin,3,94,95,181,1723,1546
4549710,,http://ngonoo.com/2015/11/214012/wow-mobil-pemburu-hantu-ghostbusters-ini-menghabiskan-biaya-sebesar-27-miliar/,https://ngonoo.com/2015/11/214012/wow-mobil-pemburu-hantu-ghostbusters-ini-menghabiskan-biaya-sebesar-27-miliar,"Wow! Mobil Pemburu HantuâGhostbustersâ Ini Menghabiskan Biaya Sebesar 2,7 Miliar","Wow! Mobil Pemburu Hantu ""Ghostbusters"" Ini Menghabiskan Biaya Sebesar 2,7 Miliar",3,80,81,72,1735,1663
4544332,,http://gayahidup.rimanews.com/selebritas/read/20151117/245582/Momen-Romatis-Raisa-Dipeluk-Kakak-Pevita-Pearce,http://rimanews.com/gayahidup/selebritas/read/20151117/245582/Momen-Romantis-Raisa-Dipeluk-Kakak-Pevita-Pearce,Momen Romatis Raisa Dipeluk Kakak Pevita Pearce,Momen Romantis Raisa Dipeluk Kakak Pevita Pearce,1,47,48,151,924,937
5717407,,http://olahraga.rimanews.com/raket/read/20160220/262970/Tim-Uber-Indonesia-Masih-Berpeluang-Lolos-ke-Putaran-Final,http://rimanews.com/olahraga/raket/read/20160220/262970/Tim-Uber-Indonesia-Masih-Berpeluang-Lolos-ke-Putaran-Final,Tim Uber Indonesia Masih Berpeluang Loloske Putaran Final,Tim Uber Indonesia Masih Berpeluang Lolos ke Putaran Final,1,57,58,50,2222,2172
4548479,,http://gayahidup.rimanews.com/musik/read/20151117/245710/Hivi-dari-i-Ngamen-i-Sampai-Ciptakan-Lagu-di-Rimanews,http://rimanews.com/gayahidup/musik/read/20151117/245710/HiVi-dari-Ngamen-Sampai-Ciptakan-Lagu-di-Rimanews,Hivi dari Ngamen Sampai Ciptakan Lagu di Rimanews,HiVi dari Ngamen Sampai Ciptakan Lagu di Rimanews,1,49,49,53,1701,1651
4199705,,http://ekonomi.rimanews.com/keuangan/read/20151001/237361/Menko-Perek-Deflasi-Bukan-Berarti-Ekonomi-Indonesia-Sudah-Membaik,http://rimanews.com/ekonomi/keuangan/read/20151001/237361/Menko-Deflasi-Bukan-Berarti-Ekonomi-Indonesia-Sudah-Membaik,Menko Perek: Deflasi Bukan Berarti Ekonomi Indonesia Sudah Membaik,Menko: Deflasi Bukan Berarti Ekonomi Indonesia Sudah Membaik,6,66,60,0,1147,1147
4198559,,http://internasional.rimanews.com/amerika/read/20151001/237366/Paus-Diam-Diam-Temui-Panitera-yang-Menentang-Pernikahan-Sesama-Jenis,http://rimanews.com/internasional/amerika/read/20151001/237366/Paus-Diam-Diam-Temui-Panitera-Penentang-Pernikahan-Sejenis,Paus Diam-Diam Temui Panitera yang Menentang Pernikahan Sesama Jenis,Paus Diam-Diam Temui Panitera Penentang Pernikahan Sejenis,12,68,58,0,2044,2044
5093890,,http://syafrita-irdani.blogspot.com/2016/01/lee-jun-ki-iu-dikonfirmasi-akan.html,http://syafrita-irdani.blogspot.com/2016/01/lee-jun-ki-iu-dikonfirmasi-akan.html,Lee Jun Ki & IU Dikonfirmasi Akan Berakting di âMoon Loversâ,Syafrita Irdani Putri: Lee Jun Ki & IU Dikonfirmasi Akan Berakting di âMoon Loversâ,23,60,83,0,905,905
4705689,,http://litanythrift.blogspot.com/2015/12/kisah-vanness-wu-personil-f4.html,http://litanythrift.blogspot.com/2015/12/kisah-vanness-wu-personil-f4.html,"Kisah Vanness Wu, Personil F4","litanystars: Kisah Vanness Wu, Personil F4",13,29,42,3093,2389,5478
4532155,,http://www.alodita.com/2015/11/hydroclean-review.html,http://www.alodita.com/2015/11/hydroclean-review.html,"GOOD NIGHT, SLEEP TIGHT. DON'T LET THE BED BUGS BITE!","Andra Alodita | Life & Beauty Journal: GOOD NIGHT, SLEEP TIGHT. DON'T LET THE BED BUGS BITE!",39,53,92,133,3865,3996
4631371,,http://nikenbicarafilm.blogspot.com/2015/11/the-hunger-games-mockingjay-part-2-2015.html,http://nikenbicarafilm.blogspot.com/2015/11/the-hunger-games-mockingjay-part-2-2015.html,"The Hunger Games: Mockingjay Part 2 (2015) (4,5/5)","Niken Bicara Film: The Hunger Games: Mockingjay Part 2 (2015) (4,5/5)",19,50,69,223,8931,8983
5354030,,http://ajirenji.blogspot.com/2016/01/movie-midnight-show-2016.html,http://ajirenji.blogspot.com/2016/01/movie-midnight-show-2016.html,[Movie] Midnight Show (2016),ajirenji mindstream reviews: [Movie] Midnight Show (2016),29,28,57,22,5508,5500
5180318,,http://arulfittron.blogspot.com/2016/01/negeri-van-oranje-2015-review-kisah.html,http://arulfittron.blogspot.com/2016/01/negeri-van-oranje-2015-review-kisah.html,NEGERI VAN ORANJE (2015) REVIEW : Kisah Kasih Di Negeri Orang,Arul's Movie Review Blog: NEGERI VAN ORANJE (2015) REVIEW : Kisah Kasih Di Negeri Orang,26,61,87,29,5620,5603
5216455,,http://thejosemoviereview.blogspot.com/2016/01/the-jose-flash-review-pay-ghost.html,http://thejosemoviereview.blogspot.com/2016/01/the-jose-flash-review-pay-ghost.html,The Jose Flash Review Pay the Ghost,"<span style=""font-size: small"">The Jose Flash Review </span><br/><span style=""color: #bda63b"">Pay the Ghost</span> ~ The Jose Movie Review",103,35,138,31,3345,3318
5370750,,http://pinkyrose21.blogspot.com/2016/01/beauty-haul-awal-tahun-2016.html,http://pinkyrose21.blogspot.com/2016/01/beauty-haul-awal-tahun-2016.html,Beauty Haul awal Tahun 2016,Potted Pinkyrose: Beauty Haul awal Tahun 2016,18,27,45,533,5551,5026
