id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len,,
4202081,,http://www.aplikanologi.com/berita/spesifikasi-htc-one-a9-bocor-lhoo-penasaran/,http://aplikanologi.com/berita/spesifikasi-htc-one-a9-bocor-lhoo-penasaran/,Spesifikasi HTC One A9 BocorLhoo. Penasaran?,Spesifikasi HTC One A9 Bocor Lhoo. Penasaran?,1,44,45,66,2118,2054,,
4546699,,http://nasional.inilah.com/read/detail/2253089/kejagung-tahan-tersangka-korupsi-tiket-merpati,http://nasional.inilah.com/read/detail/2253089/kejagung-tahan-tersangka-korupsi-tiket-merpati,Kejagung Tahan Tersangka Korupsi Tiket Merpati,Kejagung Tahan Tersangka Korupsi Tiket Merpati,0,46,46,0,1515,1515,,
4544222,,http://www.antaranews.com/berita/529841/baasyir-tidak-hadiri-sidang-peninjauan-kembali,http://www.antaranews.com/berita/529841/baasyir-tidak-hadiri-sidang-peninjauan-kembali,Baasyir tidak hadiri sidang peninjauan kembali,Baasyir tidak hadiri sidang peninjauan kembali,0,46,46,1405,308,1690,,
5231481,,http://www.antaranews.com/berita/540538/sanksi-dicabut-iran-bebaskan-empat-tahanan-as,http://www.antaranews.com/berita/540538/sanksi-dicabut-iran-bebaskan-empat-tahanan-as,"Sanksi dicabut, Iran bebaskan empat tahanan AS","Sanksi dicabut, Iran bebaskan empat tahanan AS",0,46,46,1824,307,2111,,
4540074,,http://www.voaindonesia.com/content/walikota-muslim-rotterdam-serukan-penghancuran-isis/3059786.html,http://www.voaindonesia.com/a/walikota-muslim-rotterdam-serukan-penghancuran-isis/3059786.html,Walikota Muslim Rotterdam Serukan Penghancuran ISIS,Walikota Muslim Rotterdam Serukan Penghancuran ISIS,0,51,51,268,1117,853,,
5765242,,http://international.sindonews.com/read/1089370/41/jet-tempur-su-25-jatuh-di-rusia-pilot-moskow-tewas-1456796082,http://international.sindonews.com/read/1089370/41/jet-tempur-su-25-jatuh-di-rusia-pilot-moskow-tewas-1456796082,"Jet Tempur Su-25 Jatuh di Rusia, Pilot Moskow Tewas","Jet Tempur Su-25 Jatuh di Rusia, Pilot Moskow Tewas",0,51,51,64,1496,1538,,
5765952,,http://nasional.sindonews.com/read/1089378/12/jk-usul-efektivitas-jumlah-tps-dalam-pemilu-1456799857,http://nasional.sindonews.com/read/1089378/12/jk-usul-efektivitas-jumlah-tps-dalam-pemilu-1456799857,JK Usul Efektivitas Jumlah TPS dalam Pemilu,JK Usul Efektivitas Jumlah TPS dalam Pemilu,0,43,43,13,1236,1225,,
4543359,,http://www.voaindonesia.com/content/setara-institute-luncurkan-indeks-kota-toleran/3061256.html,http://www.voaindonesia.com/a/setara-institute-luncurkan-indeks-kota-toleran/3061256.html,Setara Institute Luncurkan Indeks Kota Toleran 2015,Setara Institute Luncurkan Indeks Kota Toleran 2015,0,51,51,440,3990,3553,,
4544141,,http://www.antaranews.com/berita/529838/wapres-kerja-sama-apec-diharapkan-perbaiki-ekonomi,http://www.antaranews.com/berita/529838/wapres-kerja-sama-apec-diharapkan-perbaiki-ekonomi,Wapres: kerja sama APEC diharapkan perbaiki ekonomi,Wapres: kerja sama APEC diharapkan perbaiki ekonomi,0,51,51,1853,300,2136,,
5240222,,http://keuangan.kontan.co.id/news/bankir-pilih-menurunkan-bunga-deposito,http://keuangan.kontan.co.id/news/bankir-pilih-menurunkan-bunga-deposito,Bankir pilih menurunkan bunga deposito,Bankir pilih menurunkan bunga deposito,0,38,38,1,2232,2233,,
4544142,,http://wartaekonomi.co.id/berita80339/alex-noerdin-akan-bangun-sirkuit-motogp.html,http://wartaekonomi.co.id/berita80339/alex-noerdin-akan-bangun-sirkuit-motogp.html,Alex Noerdin Akan Bangun Sirkuit MotoGP,Alex Noerdin Akan Bangun Sirkuit MotoGP,0,39,39,21,1159,1138,,
4544224,,http://dapurpacu.com/269231/ford-hadirkan-jok-senyaman-sofa/,http://dapurpacu.com/269231/ford-hadirkan-jok-senyaman-sofa/,Ford Hadirkan Jok Senyaman Sofa,Ford Hadirkan Jok Senyaman Sofa | Majalah Otomotif Online by. Dapurpacu.com,44,31,75,1,951,952,,
8441765,,http://otomotifnet.com/Motor/Modifikasi/Modifikasi-Harley-Davidson-Sportster-1200-Flat-Tracker-Keluar-Dari-Pakem?utm_source=babe&utm_medium=app&utm_campaign=share_content&utm_content=article,http://otomotifnet.com/Motor/Modifikasi/Modifikasi-Harley-Davidson-Sportster-1200-Flat-Tracker-Keluar-Dari-Pakem,"Modifikasi Harley-Davidson Sportster 1200, Flat Tracker Keluar dari Pakem","Modifikasi Harley-Davidson Sportster 1200, Flat Tracker Keluar dari Pakem",0,73,73,632,2817,2185,,
4544309,,http://doktersehat.com/penyebab-sembelit-yang-tidak-terduga/,,Penyebab Sembelit Yang Tidak Terduga,Penyebab Sembelit Yang Tidak Terduga,0,36,36,49,2568,2519,,
4544131,,http://www.antaranews.com/berita/529839/pertemuan-tokoh-agama-hasilkan-lima-butir-rekomendasi,http://www.antaranews.com/berita/529839/pertemuan-tokoh-agama-hasilkan-lima-butir-rekomendasi,Pertemuan tokoh agama hasilkan lima butir rekomendasi,Pertemuan tokoh agama hasilkan lima butir rekomendasi,0,53,53,2267,304,2548,,
5231693,,https://jalantikus.com/gadgets/alasan-menggunakan-android/?utm_source=babe&utm_medium=article&utm_campaign=artikel-from-babe,https://jalantikus.com/gadgets/alasan-menggunakan-android/,Alasan Kenapa Harus Gunakan Android Dibanding iOS,Alasan Kenapa Harus Menggunakan Android Dibanding iOS,5,49,53,192,5431,5257,,
4203575,,http://feedproxy.google.com/~r/dsnet/~3/szEOV1sk7zU/,https://dailysocial.id/post/connected-e-conomy-dan-alasan-berinvestasi-di-indonesia/,“Connected e-Conomy” dan Alasan Berinvestasi di Indonesia,“Connected e-Conomy” dan Alasan Berinvestasi di Indonesia,0,57,57,2,3290,3292,,
4544147,,http://dailysocial.id/post/withings-activite-steel-adalah-activity-tracker-dalam-wujud-arloji-analog-yang-menawan/,https://dailysocial.id/post/withings-activite-steel-adalah-activity-tracker-dalam-wujud-arloji-analog-yang-menawan/,Withings Activite Steel Adalah Activity Tracker dalam Wujud Arloji Analog yang Menawan,Withings Activite Steel Adalah Activity Tracker dalam Wujud Arloji Analog yang Menawan,0,86,86,22,2594,2578,,
