id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len
5227024,,http://www.tribunnews.com/video/2016/01/17/dinilai-hina-nabi-muhammad-di-facebook-guru-di-pangkalpinang-dinonaktifkan,http://www.tribunnews.com/video/2016/01/17/dinilai-hina-nabi-muhammad-di-facebook-guru-di-pangkalpinang-dinonaktifkan,"Dinilai Hina Nabi Muhammad di Facebook, Guru di Pangkalpinang Dinonaktifkan","Dinilai Hina Nabi Muhammad di Facebook, Guru di Pangkalpinang Dinonaktifkan - Tribunnews.com",17,75,92,90,1623,1535
4630619,,http://www.tempo.co/read/news/2015/11/27/111722870/JK-Rowling-Buka-Rahasia-Mengapa-Potter-Namai-Anaknya-Severus,https://m.tempo.co/read/news/2015/11/27/111722870/jk-rowling-buka-rahasia-mengapa-potter-namai-anaknya-severus,"JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus Â ","JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus",2,63,61,214,1173,959
5239210,,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,8 Kepribadian Orang Berdasarkan Makanan Kelilng Kesukaannya,8 Kepribadian Orang Berdasarkan Makanan Keliling Kesukaannya,1,59,60,172,4420,4252
5231683,,http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/01/17/19425172/willian-targetkan-kontrak-baru-di-chelsea,http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/01/17/19425172/willian-targetkan-kontrak-baru-di-chelsea,Willian Targetkan Kontrak Baru Di Chelsea,Willian Targetkan Kontrak Baru Di Chelsea - Goal.com,11,41,52,2,1120,1122
5214191,,http://bola.inilah.com/read/detail/2267356/aguero-perpaduan-sempurna-dari-messi-dan-henry,http://bola.inilah.com/read/detail/2267356/aguero-perpaduan-sempurna-dari-messi-dan-henry,"""Aguero Perpaduan Sempurna dari Messi dan Henry""","""Aguero Perpaduan Sempurna dari Messi dan Henry"" - bola www.inilah.com",22,48,70,1,1262,1263
5231691,,http://www.antaranews.com/berita/540540/juventus-hajar-10-pemain-udinese-4-0,http://www.antaranews.com/berita/540540/juventus-hajar-10-pemain-udinese-4-0,Juventus hajar 10 pemain Udinese 4-0,Juventus hajar 10 pemain Udinese 4-0 - ANTARA News,14,36,50,1675,340,1985
4544397,,http://www.antaranews.com/berita/529847/prince-juga-batalkan-konser-di-prancis,http://www.antaranews.com/berita/529847/prince-juga-batalkan-konser-di-prancis,Prince juga batalkan konser di Prancis,Prince juga batalkan konser di Prancis - ANTARA News,14,38,52,1181,361,1502
4544398,,http://www.antaranews.com/berita/529845/teror-paris--70-juta-unggah-dukungan-via-instagram,http://www.antaranews.com/berita/529845/teror-paris--70-juta-unggah-dukungan-via-instagram,TEROR PARIS - 70 juta unggah dukungan via Instagram,TEROR PARIS - 70 juta unggah dukungan via Instagram - ANTARA News,14,51,65,933,367,1257
5240193,,http://www.kotakgame.com/berita/detail.php?id=56843&jenis=news,http://www.kotakgame.com/berita/detail.php?id=56843&jenis=news,[VIDEO] X-Legend Ungkap Keempat Class yang Akan Hadir Di Laplace (TW) Lewat Trailer Baru,Berita : [VIDEO] X-Legend Ungkap Keempat Class yang Akan Hadir Di Laplace (TW) Lewat Trailer Baru | KotakGame,21,88,109,109,964,1064
4212276,,http://www.kaorinusantara.or.id/newsline/36076/sword-art-online-akan-hadir-di-bioskop-jepang,https://www.kaorinusantara.or.id/newsline/36076/sword-art-online-akan-hadir-di-bioskop-jepang,Sword Art Online akan Hadir di Bioskop Jepang,Sword Art Online akan Hadir di Bioskop Jepang - KAORI Nusantara,18,45,63,68,939,871
4202081,,http://www.aplikanologi.com/berita/spesifikasi-htc-one-a9-bocor-lhoo-penasaran/,http://aplikanologi.com/berita/spesifikasi-htc-one-a9-bocor-lhoo-penasaran/,Spesifikasi HTC One A9 BocorLhoo. Penasaran?,Spesifikasi HTC One A9 Bocor Lhoo. Penasaran? - Aplikanologi | Review Aplikasi Android,42,44,86,66,2118,2054
4544222,,http://www.antaranews.com/berita/529841/baasyir-tidak-hadiri-sidang-peninjauan-kembali,http://www.antaranews.com/berita/529841/baasyir-tidak-hadiri-sidang-peninjauan-kembali,Baasyir tidak hadiri sidang peninjauan kembali,Baasyir tidak hadiri sidang peninjauan kembali - ANTARA News,14,46,60,1405,308,1690
5231481,,http://www.antaranews.com/berita/540538/sanksi-dicabut-iran-bebaskan-empat-tahanan-as,http://www.antaranews.com/berita/540538/sanksi-dicabut-iran-bebaskan-empat-tahanan-as,"Sanksi dicabut, Iran bebaskan empat tahanan AS","Sanksi dicabut, Iran bebaskan empat tahanan AS - ANTARA News",14,46,60,1939,307,2227
4544141,,http://www.antaranews.com/berita/529838/wapres-kerja-sama-apec-diharapkan-perbaiki-ekonomi,http://www.antaranews.com/berita/529838/wapres-kerja-sama-apec-diharapkan-perbaiki-ekonomi,Wapres: kerja sama APEC diharapkan perbaiki ekonomi,Wapres: kerja sama APEC diharapkan perbaiki ekonomi - ANTARA News,14,51,65,1853,300,2136
4544142,,http://wartaekonomi.co.id/berita80339/alex-noerdin-akan-bangun-sirkuit-motogp.html,http://wartaekonomi.co.id/berita80339/alex-noerdin-akan-bangun-sirkuit-motogp.html,Alex Noerdin Akan Bangun Sirkuit MotoGP,Alex Noerdin Akan Bangun Sirkuit MotoGP - Warta Ekonomi,16,39,55,21,1159,1138
4544224,,http://dapurpacu.com/269231/ford-hadirkan-jok-senyaman-sofa/,http://dapurpacu.com/269231/ford-hadirkan-jok-senyaman-sofa/,Ford Hadirkan Jok Senyaman Sofa,Ford Hadirkan Jok Senyaman Sofa | Majalah Otomotif Online by. Dapurpacu.com,44,31,75,1,951,952
4544131,,http://www.antaranews.com/berita/529839/pertemuan-tokoh-agama-hasilkan-lima-butir-rekomendasi,http://www.antaranews.com/berita/529839/pertemuan-tokoh-agama-hasilkan-lima-butir-rekomendasi,Pertemuan tokoh agama hasilkan lima butir rekomendasi,Pertemuan tokoh agama hasilkan lima butir rekomendasi - ANTARA News,14,53,67,2267,304,2548
5231693,,https://jalantikus.com/gadgets/alasan-menggunakan-android/?utm_source=babe&utm_medium=article&utm_campaign=artikel-from-babe,https://jalantikus.com/gadgets/alasan-menggunakan-android/,Alasan Kenapa Harus Gunakan Android Dibanding iOS,Alasan Kenapa Harus Menggunakan Android Dibanding iOS - JalanTikus.com,22,49,70,192,5431,5257
4203575,,http://feedproxy.google.com/~r/dsnet/~3/szEOV1sk7zU/,https://dailysocial.id/post/connected-e-conomy-dan-alasan-berinvestasi-di-indonesia/,âConnected e-Conomyâ dan Alasan Berinvestasi di Indonesia,âConnected e-Conomyâ dan Alasan Berinvestasi di Indonesia | Dailysocial,14,57,71,2,3290,3292
4544147,,http://dailysocial.id/post/withings-activite-steel-adalah-activity-tracker-dalam-wujud-arloji-analog-yang-menawan/,https://dailysocial.id/post/withings-activite-steel-adalah-activity-tracker-dalam-wujud-arloji-analog-yang-menawan/,Withings Activite Steel Adalah Activity Tracker dalam Wujud Arloji Analog yang Menawan,Withings Activite Steel Adalah Activity Tracker dalam Wujud Arloji Analog yang Menawan | Dailysocial,14,86,100,22,2594,2578
4204251,,http://gigsplay.com/sembojan-sebuah-entitas-pendek-dari-tigapagi-untuk-peringati-g30s/,http://gigsplay.com/sembojan-sebuah-entitas-pendek-dari-tigapagi-untuk-peringati-g30s/,"Sembojan, Sebuah Entitas Pendek dari Tigapagi Untuk Peringati G30S","Sembojan, Sebuah Entitas Pendek dari Tigapagi Untuk Peringati G30S - Gigsplay",11,66,77,98,1307,1405
4535276,,http://ngonoo.com/2015/11/121507/4-fakta-menarik-tim-amatir-hingga-selebrasi-unik-ps-tni-usai-kalahkan-surabaya-united-kemarin/,https://ngonoo.com/2015/11/121507/4-fakta-menarik-tim-amatir-hingga-selebrasi-unik-ps-tni-usai-kalahkan-surabaya-united-kemarin,4 Fakta Menarik TimâAmatirâ Hingga Selebrasi Unik PS TNI Usai Kalahkan Surabaya United Kemarin,4 Fakta Menarik Tim 'Amatir' Hingga Selebrasi Unik PS TNI Usai Kalahkan Surabaya United Kemarin,3,94,95,181,1723,1546
4549710,,http://ngonoo.com/2015/11/214012/wow-mobil-pemburu-hantu-ghostbusters-ini-menghabiskan-biaya-sebesar-27-miliar/,https://ngonoo.com/2015/11/214012/wow-mobil-pemburu-hantu-ghostbusters-ini-menghabiskan-biaya-sebesar-27-miliar,"Wow! Mobil Pemburu HantuâGhostbustersâ Ini Menghabiskan Biaya Sebesar 2,7 Miliar","Wow! Mobil Pemburu Hantu ""Ghostbusters"" Ini Menghabiskan Biaya Sebesar 2,7 Miliar",3,80,81,72,1735,1663
5244179,,http://www.oprekandroid.com/yuk-cari-tahu-fitur-fitur-canggih-smartwatch-huawei-w1.html,http://oprekandroid.com/yuk-cari-tahu-fitur-fitur-canggih-smartwatch-huawei-w1.html,"Yuk, Cari Tahu Fitur-Fitur Canggih Smartwatch Huawei W1","Yuk, Cari Tahu Fitur-Fitur Canggih Smartwatch Huawei W1 - Oprek Android",16,55,71,379,2708,2896
4534435,,http://www.kabarandroid.com/2015/11/cara-pasang-dua-bbm-di-android-terbaru.html,http://www.kabarandroid.com/2015/11/cara-pasang-dua-bbm-di-android-terbaru.html,Cara Mudah Pasang Dua BBM di Android Terbaru,Cara Mudah Pasang Dua BBM di Android Terbaru | Kabar Android,16,44,60,189,1927,1742
5239088,,http://movienthusiast.com/the-hateful-eight-2015/,http://movienthusiast.com/the-hateful-eight-2015/,The Hateful Eight (2015),The Hateful Eight (2015) | Movienthusiast.com,21,24,45,400,5457,5075
